path_num,teo_path_dist,teo_path_Xdist,teo_path_Ydist,teo_path_time,avg_path_vel,energy
1,22.48528137423857,12.0,16.0,641,0.03507844208149543,20255865.23146204
2,47.642503569547884,25.0,35.0,673,0.07079123858773831,24480841.515841283
3,35.812236197922644,31.0,10.0,688,0.05205266889232942,19795449.234562207
4,34.581902033536565,26.0,16.0,670,0.051614779154532185,15487655.719595231
5,33.75640720246149,24.0,23.0,659,0.05122368316003261,16525629.842656706
6,44.528002129922506,33.0,26.0,682,0.06529032570369869,18495473.420073085
7,28.153830342163698,6.0,26.0,639,0.044059202413401714,13857463.474946704
8,28.901082325609213,14.0,23.0,673,0.042943658730474316,12311586.73765249
9,34.306835828140905,26.0,20.0,638,0.053772469950064114,12864036.170764087
10,47.24277280006132,38.0,19.0,689,0.06856715936148232,15610165.909838138
11,30.83898384548368,19.0,21.0,659,0.0467966370948159,12522502.342925066
12,40.356890665593944,27.0,25.0,692,0.0583192061641531,14347668.907705575
13,27.34017465091652,19.0,16.0,641,0.042652378550571794,7120502.219009645
14,51.63280590924674,35.0,36.0,672,0.07683453260304575,13142158.956610115
15,43.347155882566085,34.0,14.0,698,0.06210194252516631,12227493.733183507
16,25.184154680357835,16.0,19.0,672,0.0374764206552944,7682053.246951997
17,43.33197194800073,31.0,27.0,680,0.0637234881588246,10488109.310133114
18,31.170087325458258,19.0,20.0,621,0.05019337733568158,9481634.095650163
19,31.128400665461005,20.0,21.0,645,0.04826108630304032,8177946.966831212
20,35.90426046767316,25.0,22.0,663,0.05415423901609828,10193735.154989462
21,41.68898733752316,13.0,37.0,618,0.06745790831314427,8812899.047355767
22,25.390996910708367,14.0,19.0,663,0.038297129578745655,6553262.397567982
23,27.052890363025938,19.0,13.0,628,0.043077850896538115,6125200.559984794
24,32.762748224157946,14.0,25.0,697,0.04700537765302431,9849641.941684777
25,29.14103857021967,15.0,19.0,693,0.04205056070738769,7003015.594076012
26,37.47704799697283,31.0,19.0,666,0.05627184383929854,7222108.701773362
27,39.02579293215858,35.0,11.0,672,0.05807409662523598,6167905.089290148
28,34.22547246359567,18.0,21.0,679,0.05040570318644429,9312993.548798034
29,30.972962251824452,27.0,11.0,681,0.04548158920972754,7418851.947637586
30,41.80861087618574,34.0,21.0,683,0.06121319308372729,8452493.332760183
31,40.47078431433443,27.0,27.0,689,0.05873843877261891,7365983.646931603
32,28.44445932064576,22.0,14.0,685,0.04152475813232957,7056178.272157891
33,23.230954508899174,21.0,8.0,614,0.03783543079625273,7221847.645181059
34,21.78584445398434,13.0,15.0,651,0.033465198854046606,7971168.3691327665
35,33.3221289459074,17.0,22.0,693,0.04808388015282453,8021183.277052935
36,39.68385344006443,30.0,20.0,672,0.05905335333342922,8884511.717376666
37,38.39302519292788,24.0,26.0,668,0.05747458861216748,6789429.907616236
38,31.830203829092085,22.0,21.0,693,0.04593103005640994,8965171.718129829
39,28.67811739477373,21.0,15.0,654,0.0438503324079109,6224986.602046
40,38.275873831544764,25.0,23.0,699,0.05475804553869065,8357940.089929333
41,30.744460890773578,15.0,25.0,685,0.044882424658063615,7182733.499836937
42,34.476000188683486,16.0,26.0,665,0.05184360930629096,7759568.252098379
43,31.952588689033345,26.0,12.0,689,0.046375310143734895,6214156.485192273
44,40.57780050378045,26.0,24.0,657,0.06176225343041165,8355187.024401543
45,43.530482498697225,23.0,34.0,670,0.06497086940104063,7366277.279135716
46,43.0890931479835,31.0,25.0,664,0.0648932125722643,7606106.089071339
47,35.84213605828219,27.0,21.0,698,0.051349765126478784,8256602.267560784
48,40.409733214377916,21.0,31.0,695,0.05814350102788189,8305928.878306732
49,51.34009607099504,23.0,37.0,686,0.07483979019095487,9540470.863011273
50,15.464765826329732,10.0,9.0,675,0.02291076418715516,7446077.940617495
51,30.21380882908892,15.0,24.0,665,0.045434298991111156,8645673.140057478
52,23.0382593939914,12.0,19.0,628,0.036685126423553184,5168149.026488921
53,47.162435565185355,33.0,32.0,635,0.07427155207115804,7389999.856870271
54,33.848513061528976,28.0,16.0,663,0.05105356419536799,7451086.993300898
55,39.665747164945294,30.0,22.0,685,0.05790620024079605,9138396.374764372
56,25.782842308480884,17.0,14.0,692,0.037258442642313414,8179083.360108312
57,31.936377193710495,24.0,19.0,693,0.046084238374762616,7352187.071391763
58,22.302619174044516,16.0,13.0,690,0.03232263648412249,7377300.836518588
59,42.648736173919595,16.0,36.0,643,0.06632773899520933,6675999.417265836
60,31.383325771613347,21.0,16.0,646,0.04858099964646029,5282013.483210964
61,18.52632114051584,5.0,17.0,694,0.02669498723417268,3666992.510417744
62,25.785844453984343,17.0,15.0,661,0.03901035469589159,6567314.463201502
63,27.31526010525133,21.0,14.0,667,0.040952413950901545,5376485.681843301
64,25.705481427033437,17.0,18.0,665,0.03865485928877208,6835846.6367965285
65,23.59718267569305,16.0,14.0,665,0.035484485226606084,5955948.694561773
66,29.166287792226846,15.0,24.0,690,0.04226998230757514,6068803.23420291
67,23.610374803910638,14.0,17.0,648,0.036435763586281845,6152797.221397699
68,37.70577006764592,25.0,25.0,683,0.05520610551631907,9059278.179304298
69,49.49363613380181,25.0,37.0,699,0.07080634640028871,8738433.83264485
70,34.88449562983608,19.0,25.0,656,0.05317758480157939,7408144.756915991
71,32.05837481897358,22.0,20.0,646,0.04962596721203341,6421072.866791984
72,31.485347430709584,21.0,18.0,660,0.04770507186471149,8465810.202987256
73,25.305650239569715,19.0,11.0,629,0.0402315584094908,6110207.967960588
74,15.291267864660341,11.0,9.0,673,0.02272105180484449,7239941.210018057
75,32.80411204360593,13.0,25.0,686,0.04781940531137891,7924547.939772277
76,34.20007552695511,23.0,24.0,697,0.04906754021083947,7242409.432398181
77,41.73423919868591,32.0,21.0,697,0.05987695724345181,9309817.957738506
78,26.182969113319956,24.0,8.0,635,0.041233022225700716,8361842.476347026
79,35.89799354779055,24.0,22.0,638,0.056266447567069826,8609291.327939559
80,31.62741699796952,17.0,22.0,684,0.04623891373972152,7076437.265956122
81,38.90098701880755,21.0,26.0,664,0.05858582382350534,6911540.727381423
82,25.890199721526237,16.0,14.0,630,0.04109555511353371,8344897.044308055
83,46.765641533783764,31.0,27.0,690,0.06777629207794748,8530537.07213097
84,23.918151423253544,10.0,18.0,663,0.03607564317232812,7596465.347389031
85,37.21805890749734,25.0,21.0,626,0.059453768222839196,8463892.313484257
86,29.61427157873053,20.0,17.0,694,0.04267186106445321,8963064.89845971
87,42.15815442256857,27.0,26.0,659,0.06397292021634078,7732561.285831699
88,44.21184041005161,19.0,37.0,659,0.06708928742041215,6652347.994293184
89,19.39382902234742,13.0,11.0,671,0.028902874847015526,6371619.214549934
90,40.50281539872884,23.0,29.0,676,0.05991540739456929,8838497.30604171
91,25.474192049298324,17.0,16.0,667,0.038192191977958506,7440747.348431268
